 Name,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab League states,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,China and India,Colombia,Comoros,Congo,"Congo, Dem. Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Czechoslovakia,Dem. People's Rep. Korea,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (all income levels),East Asia & Pacific (IDA & IBRD),East Asia and the Pacific (IFC classification),EASTERN EUROPE,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (all income levels),Europe & Central Asia (IDA & IBRD),Europe and Central Asia (IFC classification),European Community,European Union,Faeroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Guiana,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,High income: nonOECD,High income: OECD,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (all income levels),Latin America & Caribbean (IDA & IBRD),Latin America and the Caribbean (IFC classification),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,"Low income, excluding China and India",Lower middle income,Low-income Africa,Luxembourg,"Macao SAR, China",Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Middle East & North Africa,Middle East & North Africa (all income levels),Middle East & North Africa (IDA & IBRD),Middle East (developing only),Middle East and North Africa (IFC classification),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Netherlands Antilles,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,Northern Mariana Islands,Norway,OECD members,Oman,Other low-income,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro,Severely Indebted,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Asia (IFC classification),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (all income levels),SUB-SAHARAN AFRICA (excl. Nigeria),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IFC classification),Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,"Taiwan, China",Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Virgin Islands,West Bank and Gaza,World,Yemen,"Yemen, PDR",Zambia,Zimbabwe
1970,5674682,1099525,7314625,,,3300464,32057,61674153,12022050,1232157,28885,6287527,3507355,2519911,83887,114922,33344390,112251,4154716,4732626,60683,1400497,,151284,2243497,1848920,332260,47494553,,66826,4243738,2799624,1679052,3480248,3221292,10691816,128734,2351408,,898651,48216295,1785528,58983,4703148,420001834,,10979409,114680,678414,9698038,938153,2705993,2134421,4431087,71247,303232,4770399,,6813292,2447640,79489,,2274457,635982617,567995803,654291773,561182511,,,3048111,17749456,1824934,152108,903118,622193,14138850,139079050,147197941,352491352,165193671,,,214521452,,264724,2224767,75743767,25571596,,56558,282666,228878,1939425,37010346,4378408,,4323477,,44673,,46741,2845056,2081217,350954,353831,2317706,103366659,430069004,,,1354307,2018570,5010687,1195926607,103363,1442744606,80609496,166208503,246817999,286628713,57246217,14652473,5044851,1484493,,1500042,26234187,916274,51432558,891457,6145176,5612896,25292,16191370,,421257,1417390,1326765,673101450,122370214,143426230,137335278,,1080194,153546008,1160211,477489,708865,1100450,,1472737,1416570250,104287578,,597621074,,166192,126627,873040,3317225,2238628,5475969,59846,2977676,146626,,,571883,413260,,25948894,31675,64712713,70441772,64712713,,,1312282672,1423476,,629856,250199,7911800,4480201,12856465,385447,,5964316,6504150,,58549,1404395,1199215,2182930,27993647,111667694,,1927315,439256206,355657,,5417306,567280,30712471,,772718,1294614,1234126,6699891,18113981,15861309,4121703,410112428,119731144,1331868,69895,,9947147,59521741,1842878,72958,,37216,2971584,2143033,,,,26854,1311021,1062080,,2238575,834895,8335994,84234,1702717,11416713,368965153,368965153,,1819114,16499706,6429451,,50094,,42784,145328426,145355280,,145355280,,5142242,185283,211572,4015732,3019809,3217838,,1435611,6690715,18485692,307313,1043945,43200,469591,2537817,17323803,1073709,,,4695217,21411143,149076,27011329,100975878,714661598,1396587,5890597,45197,5883196,21396277,31727,,1846639254,3052246,,2073835,2578635
1971,5818118,1126332,7522987,,,3374941,32586,63408692,12208274,1262934,29039,6500973,3526064,2573349,86009,119424,34024606,113307,4194770,4739202,62004,1432232,,156474,2291798,1870488,343962,48682483,,69899,4266524,2843985,1703017,3552143,3306321,10849611,129922,2383345,,916212,48475474,1827058,59579,4792552,431631246,,11254219,116989,699342,9978151,962988,2831840,2146910,4507671,72500,307388,4752983,,7018536,2464271,84278,,2338544,651839257,583599481,671354716,576580945,,,3137514,18157283,1872761,149746,927836,631124,14553993,139941701,148977489,355401482,167048797,,,215753663,,270054,2227891,77767553,25812274,,58584,288201,235375,1960057,37107043,4495060,,4344573,,44630,,47494,2924526,2102573,358267,358229,2358945,106146527,434668235,,,1394115,2056056,5025334,1224492081,104195,1477601603,82743098,170366424,253109522,293242049,58799089,15044250,5220388,1502093,,1546519,26359818,931927,52114275,935866,6248365,5812865,25715,16506633,,445767,1450156,1364079,689204717,125636661,147029085,140831825,,1090136,157269481,1189352,487227,727223,1150839,,1492565,1451326194,106987454,,611775639,,167817,128085,882725,3406503,2300698,5603489,61770,3023851,146737,,,588902,418947,,26792114,32049,66412161,72414633,66412161,,,1344338740,1444831,,648777,251664,8088322,4585478,13171897,397335,,6088988,6581838,,62682,1424848,1237027,2249023,28654814,113066638,,1940414,444398321,369023,,5534600,579547,31523134,,794825,1327071,1266368,6880479,18646367,15924398,4106260,414165648,122910119,1353380,77274,,10056229,59918990,1898962,74073,,37938,3116414,2211687,,,,27473,1338186,1081035,,2247004,842267,8497492,87159,1712575,11738126,377470697,377470697,,1861559,16709607,6555558,,50730,,43323,149229705,149257178,,149257178,,5313099,186088,217645,4041051,3035632,3328141,,1480966,6909919,19027990,315346,1078682,43804,474512,2594874,17743653,1105281,,,4832025,21596946,181314,27134262,102217027,732563101,1400086,6075872,46693,6058178,21913904,35354,,1885994429,3095581,,2145293,2666120
1972,5967987,1154556,7734883,,,3457647,33056,65174687,12407347,1293462,29206,6618565,3549599,2624774,87741,124809,34597563,114484,4233917,4755653,63210,1465180,,161909,2341461,1892976,356301,49874580,,73038,4285543,2889858,1721135,3634675,3394940,11021094,129997,2414468,,933677,48841495,1871807,60160,4880087,442335153,,11520501,119295,721312,10260695,987378,2969431,2158459,4583823,72580,311535,4772403,,7223371,2477407,89111,,2402975,668099974,598336164,687494359,591112793,,,3228681,18560899,1920146,145211,953414,639230,14997893,140987789,150742780,358563209,168963922,,,217231835,,275370,2241675,79838259,26068931,,60725,293910,242154,1979777,37309268,4624437,,4374940,,44588,,48233,3004966,2119063,366056,362514,2399385,109017921,439355922,,,1435194,2088529,5039952,1252586001,105728,1512068311,84945426,174536884,259482310,300134767,60377436,15448069,5398637,1524797,,1584436,26510853,947578,52864973,973379,6352421,6023175,26106,16813008,,469689,1485352,1403811,704463543,128937885,150679095,144373462,,1100575,160980184,1222141,496947,746534,1204074,,1509979,1485606743,109751541,,626254281,,169971,128075,890671,3499338,2365804,5732687,64115,3074019,146705,,,606357,424062,,27669817,32184,68131711,74426738,68131711,,,1375855202,1466169,,668395,254902,8265113,4694318,13493154,410003,,6220144,6648356,,65520,1449753,1276303,2316355,29342424,114312841,,1954901,449659663,383963,,5655931,591334,32362189,,817379,1360694,1298677,7063146,19192638,16062683,4104705,418197160,126183529,1379911,85685,,10157988,60308922,1955772,74956,,38633,3278228,2283207,,,,28220,1367611,1100690,,2265315,849368,8661733,90271,1710801,12069023,386186139,386186139,,1905859,16906334,6677465,,51307,,43876,153272064,153300284,,153300284,,5490706,185585,224128,4049717,3058041,3443198,,1526674,7139366,19578136,324247,1109357,44236,480529,2654007,18175908,1137469,,,4965714,21779816,221512,27239894,103291747,749600921,1401002,6253813,48211,6232194,22420433,37888,,1924962665,3138200,,2220838,2758300
1973,6119136,1181887,7951999,,,3548042,33480,67016222,12612316,1323510,29354,6716999,3572210,2674696,89268,131354,35128762,115669,4270781,4768512,64317,1499542,,167571,2392597,1915992,369419,51078253,,76289,4306821,2937420,1736957,3707331,3487457,11205990,129363,2445057,,951538,49223147,1918357,60681,4965911,452543013,,11782970,121795,744123,10549280,1011759,3117192,2169464,4657285,72093,315699,4799961,,7421782,2491013,94716,,2467714,684768398,612603701,702846463,605181919,,,3321484,18966274,1966845,139389,979844,646183,15444331,141987344,152494517,361642640,170879518,,,218636549,,280714,2254998,81984873,26325424,,62949,299871,249086,1996678,37448488,4758685,,4396858,,44528,,48954,3086019,2131629,373558,366734,2440034,111978363,443630304,,,1477741,2142362,5055465,1280538083,107323,1546544048,87241805,178764160,266005965,307259132,61978772,15871856,5580538,1549720,,1647663,26689820,963132,53319218,1005782,6454860,6244048,26494,17107595,,494825,1520771,1443533,719244366,132275028,154372140,147957585,,1111021,164731901,1254807,507104,766872,1259602,,1525473,1519869549,112582865,,641077814,,171990,127010,897833,3595741,2434208,5865324,66710,3127221,146669,,,624275,428970,,28568626,32213,69894160,76536628,69894160,,,1407286684,1487874,,688513,259274,8445124,4808650,13820542,422909,,6357358,6702695,,67044,1477978,1316941,2385490,30072266,115471116,,1968224,454495081,401074,,5779054,602929,33236959,,840259,1395661,1331476,7249027,19751698,16215537,4112667,421743153,129596456,1409295,94413,,10250458,60698984,2014176,75652,,39358,3457107,2355523,,,,28723,1398975,1121016,,2286458,856306,8827040,93546,1723255,12406258,395132647,395132647,,1952090,17106153,6797019,,51869,,44440,157469496,157498219,,157498219,,5676457,184265,230991,4052839,3079294,3562551,,1572861,7377687,20130739,332317,1136986,44567,487355,2715052,18617696,1170179,,,5099477,21957661,269363,27307647,104265126,766208870,1400521,6428791,49743,6406972,22921547,41591,,1963499853,3185859,,2300035,2853596
1974,6264873,1209110,8176839,,,3645025,33901,68992698,12813363,1352769,29463,6884835,3581050,2723758,90839,139372,35711606,116746,4303954,4781582,65385,1535628,,173463,2445354,1938882,383504,52303519,,79712,4334408,2986974,1755517,3742040,3584228,11403846,128617,2475561,,970468,49637193,1964713,61123,5050356,461995352,,12048529,124753,767500,10849124,1036688,3272652,2179306,4725053,72708,319949,4833723,,7606560,2501038,102046,,2532725,701761687,626101890,718098310,618495330,,,3415780,19381688,2012645,133544,1007136,652495,15857501,142887143,154258711,364611486,172815538,,,219940411,,286100,2267319,84247479,26558373,,65205,306183,255984,2013247,37484068,4886565,,4415392,,44386,,49660,3167243,2141778,379735,370952,2482307,115024538,448433663,,,1522013,2209719,5077399,1308049099,108760,1580830680,89663986,183117595,272781581,314545866,63600514,16325909,5767710,1575891,,1695163,26860819,978481,54359976,1036068,6551631,6475608,26871,17398482,,523596,1558201,1479940,733319901,135650352,158098108,151581102,,1121718,168602674,1282089,518358,788331,1316676,,1540179,1553920363,115487458,,656281263,,174335,125496,905640,3695689,2506171,6003538,69309,3182052,146645,,,642680,434209,,29470202,32314,71730820,78735895,71730820,,,1438432905,1508864,,708877,263777,8632248,4931051,14154789,435280,,6499989,6753686,,68297,1508636,1358789,2457184,30864935,116602337,,1979990,459827403,421121,,5903048,614687,34156991,,863290,1432220,1365359,7439721,20321609,16377521,4177878,425781690,133209811,1437915,102480,,10350662,61095899,2075507,76257,,40160,3652573,2425901,,,,29300,1431830,1139456,,2309294,860488,8993296,96955,1784959,12745655,404339145,404339145,,2000349,17305982,6917048,,52465,,45021,161839445,161868745,,161868745,,5872128,182834,238163,4060635,3094206,3685568,,1619696,7622904,20678992,337250,1163396,44880,494551,2777781,19065019,1203295,,,5237867,22127140,324125,27338576,105198491,782151642,1400342,6607259,51310,6584901,23425522,44282,,2002354026,3246198,,2382184,2949765
1975,6398958,1237093,8411394,,,3747887,34319,71144493,13003766,1381021,29507,6964865,3574148,2772484,92641,149005,36413668,117622,4332035,4793742,66463,1573664,,179563,2499838,1961170,398670,53557580,,83343,4353965,3038847,1780484,3721235,3685587,11614581,128220,2506335,,991002,50093364,2009548,61447,5133766,470239739,,12322273,128362,791232,11163662,1062604,3433892,2187901,4785002,73011,324301,4869404,,7773012,2506649,111699,,2597979,719064822,638352678,731854983,630579666,,,3511465,19813545,2057336,128665,1035301,658327,16214471,143697402,156043301,367481900,174776491,,,221172719,,291571,2277714,86650425,26751791,,67461,312919,262759,2027250,37366552,5000809,,4459884,,44143,,50358,3248367,2150955,383948,375160,2527270,118153752,452960751,,,1568217,2257011,5107010,1334635699,110133,1614514128,92233252,187645177,279878429,321945660,65240548,16818339,5960963,1602302,,1732171,27014627,993600,55248003,1066613,6640145,6718004,27250,17689560,,557616,1594298,1510880,746267548,139064972,161849213,155241630,,1131059,172650855,1300410,531123,810986,1374793,,1553961,1587347278,118469636,,671884700,,176250,124030,915009,3799158,2581925,6148817,71771,3237542,147795,,,661587,440118,,30360605,32640,73665799,81055744,73665799,,,1468877642,1527621,,729288,267685,8829293,5062836,14496317,446619,,6647509,6811357,,69010,1537622,1401694,2531946,31733175,117815647,,1990339,464862194,444609,,6028615,626878,35129737,,886341,1470549,1400792,7636237,20901167,16545289,4347166,429483501,137061450,1463471,109296,,10485327,61506316,2140766,76818,,41092,3864640,2492564,,,,30014,1465809,1155884,,2332788,868333,9161828,100455,1918173,13084401,413826334,413826334,,2050730,17505305,7039468,,53164,,45609,166394194,166424208,,166424208,,6078932,181827,245597,4073026,3091048,3811886,,1667377,7873624,21217611,337591,1190085,45238,501787,2842145,19515005,1236711,,,5384307,22286018,384813,27346746,106201066,796992942,1401681,6793881,52906,6767747,23939046,46329,,2040308029,3324719,,2466760,3045451
1976,6524577,1264649,8655590,,,3855958,34753,73489523,13180498,1408109,29475,7028679,3570260,2821126,94729,160519,37256834,118256,4357569,4800959,67558,1613797,,185874,2556067,1982614,414956,54840928,,87224,4371320,3093041,1813145,3634155,3791620,11759666,128282,2537281,,1013133,50543029,2052531,61633,5216197,477588355,,12605351,132707,815243,11495646,1089645,3600322,2195727,4836810,73079,328850,4903590,,7917773,2511383,124193,,2663429,736649962,649648446,744168501,641730673,,,3608491,20264467,2100881,124865,1064252,663729,16503487,144389977,157910400,370285638,176819843,,,222268653,,297035,2284699,89209258,26900312,,69696,320104,269356,2040938,37231157,5097403,,4533136,,43753,,51038,3329144,2159345,385782,379452,2575143,121371116,456749748,,,1616435,2297840,5135396,1360634360,111188,1647957064,94960312,192362392,287322704,329434797,66895691,17350159,6160807,1626921,,1769229,27139117,1008213,55665827,1097592,6719531,6971119,27636,17970925,,597718,1628653,1535286,758446164,142517031,165620581,158934935,,1138301,176895770,1308178,545577,834271,1433295,,1567281,1620516858,121535248,,687883537,,177022,122707,926321,3906188,2662882,6302861,73996,3292968,148604,,,681011,446677,,31235431,33221,75703783,83509888,75703783,,,1498981610,1545068,,749690,270796,9036895,5203904,14844171,456853,,6799690,6861110,,69691,1550441,1445584,2610152,32686356,118914168,,1998954,469105613,471724,,6153007,639533,36156332,,909358,1510669,1437849,7839070,21490092,16713716,4479793,432379508,141179301,1486342,114302,,10616822,62013092,2210120,77363,,42162,4091724,2554594,,,,30632,1500845,1171190,,2356784,880363,9329821,104040,2136574,13420176,423597061,423597061,,2102504,17701579,7164961,,53972,,46229,171140137,171170769,,171170769,,6297335,181414,253350,4084465,3071556,3941004,,1715902,8129412,21744514,332429,1216851,45674,508952,2907734,19965688,1270501,,,5540301,22433689,452285,27346257,107154502,811098073,1404956,6990048,54564,6956182,24463227,46955,,2077266606,3423869,,2553478,3139502
1977,6639628,1292943,8909279,,,3969748,35185,76009278,13346696,1434127,29377,7101052,3573926,2869760,97052,173644,38221711,118694,4386783,4805831,68663,1656027,,192381,2613927,2003394,432253,56151163,,91305,4392359,3149804,1852548,3493868,3902439,11887015,128713,2568305,,1036773,50947422,2094435,61706,5297873,484162022,,12896475,137706,839598,11843333,1117747,3772231,2196524,4881244,73054,333512,4934676,,8043125,2517649,139094,,2729094,754551494,660126611,755812902,652083486,,,3706858,20734345,2143206,122092,1094026,669329,16739869,144994623,159759762,372966269,178832991,,,223230309,,302519,2291055,91902886,27011843,,71921,327726,275934,2053901,37173956,5181102,,4596358,,43252,,51717,3409782,2167765,385680,383718,2625817,124677735,460634930,,,1666602,2349027,5159887,1386070606,111976,1681169656,97835624,197263426,295099050,337029102,68564710,17921393,6365780,1649316,,1807326,27241091,1022357,56209690,1128815,6791826,7235161,28024,18250747,,643024,1661908,1554496,769855061,146003552,169411694,162660480,,1144994,181327095,1307052,561486,858027,1492312,,1580205,1653451364,124683681,,704280988,,177147,121495,939085,4016842,2749359,6465467,76075,3348648,149227,,,700945,453738,,32096118,34018,77842750,86096756,77842750,,,1528767683,1560267,,770152,273344,9254267,5351925,15197450,466256,,6956483,6897151,,70621,1554261,1490361,2691562,33715095,120048724,,2006565,473398298,502211,,6278264,652560,37236562,,932369,1552502,1476519,8047550,22089631,16876705,4534551,435338313,145535958,1506476,117993,,10721694,62535395,2283325,77879,,43341,4334993,2613137,,,,31260,1537057,1187088,,2381110,889939,9499129,107719,2425058,13754103,433644430,433644430,,2155635,17894082,7292488,,54881,,46853,176074259,176105519,,176105519,,6526759,181513,261425,4095905,3059231,4073355,,1765440,8390935,22259598,322774,1243667,46164,516137,2974826,20417742,1304700,,,5705378,22571484,525588,27340287,108161709,824486695,1409912,7194229,56237,7149852,24998256,45317,,2114086294,3542232,,2642447,3233146
1978,6726764,1320071,9174193,,,4090950,35561,78662125,13509265,1459380,29269,7176834,3573309,2918475,99545,187255,39284154,119005,4420493,4809540,69853,1700363,,198940,2673199,2023997,450327,57488749,,95425,4395323,3210037,1897460,3335670,4018335,11994122,129587,2599857,,1062269,51298916,2136388,61752,5379509,490703734,,13195204,143099,864451,12200327,1146937,3949571,2207788,4918801,72460,338016,4963083,,8157112,2523940,154846,,2795027,772903554,670585881,767410123,662428769,,,3806596,21223594,2183928,120993,1124842,674627,16961076,145594392,161595135,375616028,180814707,,,224143116,,308256,2297554,94673675,27099874,,74170,335798,282880,2065155,37169362,5263988,,4660335,,42827,,52442,3491052,2179139,385000,387638,2679592,128062480,464547054,,,1718616,2411158,5178150,1411749144,112796,1714941365,100842424,202349797,303192221,344765790,70249794,18537482,6572294,1672954,,1844128,27324455,1036661,56723089,1161885,6860786,7510938,28422,18528092,,691314,1693738,1571827,781247580,149522889,173233765,166423522,,1151003,185937545,1300638,578385,883093,1553024,,1592170,1686946859,127905534,,721127160,,177220,120737,952326,4131136,2839168,6634035,78124,3405829,150846,,,721447,459725,,32941823,35007,80090895,88822191,80090895,,,1559041325,1575035,,790791,275615,9480912,5503041,15556660,475139,,7117726,6934187,,71273,1553632,1535709,2775307,34790249,121228334,,2013295,477662853,535600,,6406694,666116,38374568,,955456,1595903,1516995,8260141,22701962,17011784,4590114,438301674,150046032,1524692,122172,,10821637,63068960,2360554,78390,,44566,4600324,2671115,,,,31413,1574428,1201095,,2404734,898617,9672667,111467,2741824,14090968,443966270,443966270,,2211670,18075475,7420204,,55831,,47485,181185789,181217202,,181217202,,6766020,181986,269724,4104967,3057740,4210610,,1816546,8659251,22762097,311396,1272368,46661,523465,3044871,20874075,1339190,,,5878600,22701450,599657,27342052,109234212,837914165,1416178,7404654,57913,7348239,25548784,46471,,2151493913,3676546,,2733990,3330374
1979,6763626,1346534,9452446,,,4221884,35794,81387230,13678251,1484313,29227,7248722,3569618,2967307,102080,199835,40403391,119299,4452537,4813315,71186,1746755,,205377,2733563,2045096,468858,58853469,,99411,4398954,3274868,1945719,3208792,4139649,12101895,130919,2632425,,1089996,51603155,2180045,61857,5462056,497303725,,13500399,148540,890031,12557613,1177161,4132538,2214579,4950386,72169,341965,4988945,,8271335,2528640,169330,,2861364,791902561,681194784,779216624,672923449,,,3907727,21731802,2222600,122273,1157003,679068,17219830,146199096,163417593,378266922,182782111,,,225036465,,314567,2303444,97442153,27184145,,76481,344292,290667,2080187,37211610,5363024,,4722581,,42690,,53286,3574037,2197131,385595,390743,2736723,131510363,468651638,,,1772311,2562748,5187106,1437874018,113849,1749446103,103952996,207619089,311572085,352701125,71954610,19204480,6775616,1695188,,1890817,27392888,1052009,57203779,1198710,6931559,7799465,28829,18809383,,739410,1726153,1591938,792732747,153073135,177093960,170231864,,1154746,190709643,1294211,595620,910617,1617101,,1601226,1721162533,131187577,,738492676,,177374,120830,964667,4249099,2929224,6804719,80332,3466326,152487,,,742547,468020,,33773437,36112,82455999,91702302,82455999,,,1589974956,1589742,,811761,278063,9715797,5652136,15922602,483962,,7283291,6976434,,71654,1546411,1581272,2860144,35871118,122481683,,2019157,481986264,571189,,6545461,680360,39574738,,978748,1640702,1559511,8474680,23329990,17149939,4645098,441395480,154590486,1542464,129288,,10893098,63606564,2441924,78943,,45756,4895484,2732654,,,,31658,1613016,1216020,,2427828,907666,9858246,115301,3028262,14437666,454557337,454557337,,2272723,18242415,7545457,,56786,,48091,186463685,186495343,,186495343,,7013363,182598,278106,4111067,3062540,4355081,,1869930,8935929,23251953,302190,1305285,47081,531149,3119809,21339048,1373795,,,6058220,22826462,667793,27365041,110379788,851482280,1423117,7618460,59527,7550392,26120107,46471,,2189814171,3821616,,2828619,3436654
1980,6736957,1374206,9745229,,,4363811,35836,84139416,13860780,1509206,29291,7333536,3572232,3016298,104582,210355,41548723,119649,4484219,4818261,72730,1795186,,211586,2794767,2067074,487589,60243562,,103122,4413940,3345108,1995770,3148211,4266592,12248211,132720,2666323,,1120133,51916507,2226728,62090,5546243,503577431,,13810976,153769,916503,12909458,1208384,4321092,2222284,4977067,72205,345128,4996104,,8394228,2530266,181088,,2928171,811658169,691623421,790767194,683229193,,,4010323,22258917,2258970,126355,1190653,683824,17554573,146834843,165280779,380997552,184814589,,,225979435,,321608,2310808,100151831,27279364,,78884,353214,299699,2098319,37311205,5490018,,4772522,,42997,,54295,3659475,2224472,388789,392712,2797311,135014062,472677595,,,1827569,2641288,5188745,1464195907,115004,1784411447,107147339,213068201,320215540,360871637,73680782,19925378,6972417,1714245,,1936036,27444212,1068922,57653752,1240650,7007804,8101282,29240,19102834,,785040,1758741,1618231,803987061,156651754,181001056,174089437,,1157474,195631671,1291571,612682,941062,1685503,,1608895,1755802251,134523730,,756413061,,177757,122019,975092,4370752,3018096,6975193,82837,3531232,154280,,,764279,476337,,34592052,37295,84941311,94726859,84941311,,,1621278521,1605746,,833204,280985,9957774,5794740,16295316,493167,,7452986,7026168,,72313,1547260,1626753,2945240,36928969,123650268,,2024609,486264553,608388,,6696722,695316,40839077,,1002348,1686738,1604176,8689593,23975781,17311526,4700101,444363693,159086672,1560736,140995,,10970172,64147308,2527460,79552,,46846,5224947,2800744,,,,31931,1652859,1231360,,2446773,916770,10058361,119208,3242821,14798641,465410184,465410184,,2339866,18394824,7666381,,57702,,48674,191894802,191926733,,191926733,,7267382,183220,286501,4116463,3074027,4508218,,1926106,9222126,23729313,297919,1343976,47367,539299,3200864,21815301,1408462,,,6243235,22948602,725507,27395092,111402057,864865460,1430244,7833541,61046,7755648,26715758,48089,,2228479846,3973702,,2926600,3555675
1981,6642670,1401535,10052652,,,4518246,35682,86902253,14059041,1533512,29520,7449087,3584241,3065467,107021,218279,42714090,120075,4519131,4817946,74486,1845824,,217357,2856774,2089330,506432,61659965,,106481,4425480,3421191,2046954,3167372,4399134,12391458,135082,2702013,,1153077,52220562,2276688,62485,5632226,510050546,,14127057,158701,943950,13254943,1240672,4515252,2231356,4998227,72425,347358,4995611,,8528728,2528154,189254,,2995470,832197599,702411105,802712926,693882377,,,4114286,22803170,2292885,133681,1225389,689254,17979014,147404999,167165676,383648857,186870649,,,226820417,,329613,2321101,102792826,27389088,,81377,362565,309964,2116938,37385344,5649596,,4818367,,43843,,55489,3747744,2263226,395089,393525,2861536,138573483,476733408,,,1884358,2705234,5185815,1491206164,116255,1820329395,110415762,218707469,329123231,369286265,75426004,20696284,7162300,1733473,,1974830,27478694,1087864,58080129,1288911,7089156,8416528,29649,19401015,,826118,1792708,1651711,815490563,160257853,184953272,177998374,,1161087,200710209,1294384,629433,975397,1758833,,1618650,1791380309,137914787,,774914748,,178028,124460,983296,4496335,3101194,7143500,85667,3601922,155690,,,786684,483939,,35396644,38552,87545102,97885479,87545102,,,1653465522,1623001,,854905,284488,10206801,5933908,16674407,502610,,7628025,7069026,,73513,1552243,1672104,3030663,37952174,124880290,,2030502,490512216,647315,,6860051,711236,42167860,,1026288,1734014,1651077,8904117,24639573,17473617,4744349,447351118,163510977,1579409,157938,,11056246,64656766,2613782,80249,,47826,5589723,2876356,,,,32320,1693084,1292069,,2463249,920197,10273300,123198,3369440,15176797,476524011,476524011,,2413440,18529857,7782077,,58545,,49216,197476562,197508882,,197508882,,7528753,183799,294748,4118282,3090938,4670739,,1984882,9518724,24192026,299640,1389276,47514,547957,3288638,22303770,1443128,,,6433119,23086573,770484,27400857,112488832,878550774,1437554,8049499,62461,7963659,27337443,48221,,2268113717,4133136,,3028061,3688371
